Sean McKittrick
Nancy Juvonen
Michael Andrews
Steven Poster
Sam Bauer
Eric Strand
Joseph Middleton
Michelle Morris
Jennifer Barak
Michael Payne
David St. James
Jazzie Mahannah
Fele Martínez
Daniel Giménez Cacho
Lluís Homar
Francisco Maestre
Francisco Boira
Juan Fernández
Nacho Pérez
Raúl García Forneiro
Javier Cámara
Alberto Ferreiro
Ang Lee
Du Lu Wang
James Schamus
Kuo Jung Tsai
Chow Yun-Fat
Michelle Yeoh
Chang Chen
Sihung Lung
Cheng Pei-Pei
Fa Zeng Li
Xian Gao
Yan Hai
De Ming Wang
Li Li
Peter Asmussen
Robby Müller
Peter Pau
Anders Refn
Tim Squyres
Timmy Yip
Joachim Holbek
Eugene Gearty
Emily Watson
Stellan Skarsgård
Katrin Cartlidge
Jean-Marc Barr
Adrian Rawlins
Jonathan Hackett
Sandra Voe
Udo Kier
Mikkel Gaup
Roef Ragas
Robert Robertson
François Truffaut
Jean Constantin
Marcel Moussy
Jean-Pierre Léaud
Claire Maurier
Albert Rémy
Guy Decomble
Henri Decaë
Georges Flamant
Patrick Auffay
Robert Beauvais
Yvonne Claudie
Pierre Repp
Marie-Josèphe Yoyotte
Georges Charlot
Eddie Marsan
Julie Christie
Danny Cunningham
Emmanuel Idowu
Dean Lennox Kelly
Daniel Mays
Sverre Anker Ousdal
Reg Wilson
Irene Blecua
Izo Hashimoto
Mitsuo Iwata
Nozomu Sasaki
Mami Koyama
Tesshou Genda
Hiroshi Ohtake
Kōichi Kitamura
Yuriko Fuchizaki
Masaaki Ōkura
Takeshi Kusao
Kazuhiro Kamifuji
Tatsuhiko Nakamura
Fukue Itô
Haruyo Kanesaku
Shunzo Kato
Yutaka Maseba
Ryohei Suzuki
Hiroe Tsukamoto
Shōji Yamashiro
Katsuji Misawa
Takeshi Seyama
Kazuo Ebisawa
Yuji Ikehata
Koji Ono
Keiji Muraki
Hiruhiko Ono
Gore Verbinski
Ted Elliott
Terry Rossio
Stuart Beattie
Jay Wolpert
Jack Davenport
Lee Arenberg
Mackenzie Crook
Damian O'Hare
Giles New
Angus Barnett
David Bailie
Michael Berry Jr.
Isaac C. Singleton Jr.
Brian Morris
Jennifer Alessi
Ronna Kress
Stephen E. Rivkin
Craig Wood
Walter Hill
Roger Spottiswoode
Larry Gross
Steven E. de Souza
Ric Waite
James Horner
Judith Holstra
Freeman A. Davies
Mark Warner
Nick Nolte
Annette O'Toole
Frank McRae
James Remar
David Patrick Kelly
James Keane
Tara King
Greta Blackburn
Margot Rose
Denise Crosby
Robert Wise
Gene Roddenberry
Alan Dean Foster
Harold Livingston
William Shatner
Leonard Nimoy
DeForest Kelley
James Doohan
George Takei
Nichelle Nichols
Walter Koenig
Majel Barrett
Stephen Collins
Persis Khambatta
Eugen Schüfftan
Grace Lee Whitney
Jerry Goldsmith
Alexander Courage
Richard H. Kline
Leon Harris
Harold Michelson
Todd C. Ramsay
Marvin Paige
Sofia Coppola
Akiko Takeshita
Giovanni Ribisi
Anna Faris
Kazuyoshi Minamimagoe
Kazuko Shibata
Take
Francis Ford Coppola
Ross Katz
Kevin Shields
Justin Stanley
Lance Acord
Sarah Flack
K.K. Barrett
Anne Ross
Fumihiro Hayashi
Hiroko Kawasaki
Daikon
Nicholas Meyer
Robert Sallin
Harve Bennett
Jack B. Sowards
Ricardo Montalban
Bibi Besch
Merritt Butrick
Kirstie Alley
John Newton
Gayne Rescher
Michael Minor
Charles Graffeo
Robert Fletcher
Joseph R. Jennings
Mary V. Buck
William Paul Dornisch
Diana Ossana
Annie Proulx
Larry McMurtry
Geraldine Peroni
Dylan Tichenor
Heath Ledger
Randy Quaid
Michelle Williams
Anne Hathaway
Larry Reese
Valerie Planche
Marty Antonini
Linda Cardellini
Paul Winfield
Robin Curtis
Mark Lenard
Michael Elphick
Charles Correll
John E. Chilberg II
Tom Pedigo
Robert F. Shugrue
Mary Ann Barton
Elza Bergeron
Stuart Jensen
Carl Steven
Vadia Potenza
Stephen Manley
Joe W. Davis
